asteroid_id,mass,size,velocity,direction_x,direction_y,direction_z,position_x,position_y,position_z,attraction_x,attraction_y,attraction_z
42,7.094211922740094e+16,751.59,22.04,782156.79,307817.04,118163.96,98707.55,239960.86,115250.47,-8082607944.350456,-1418118850.3325746,-6944794795.274286
43,8.236938284442097e+17,510.1,8.46,707598.76,936576.98,860619.15,455160.91,734888.64,420925.83,-13605717149.995579,78709420074.64471,-31395047126.653435
44,1.44539740557322e+17,574.54,16.61,749677.02,698116.87,761723.18,342761.12,503696.59,903008.11,-4754147335.594379,-245824315.2204212,18696740910.78494
45,6.038556635231155e+17,845.04,45.44,260362.66,322833.78,26196.3,553878.75,676420.37,974341.25,-8964145592.883713,24593730198.63731,87700595349.62973
46,9.895577389535238e+17,22.47,20.96,579253.34,91298.85,939344.52,80534.36,410268.49,989450.3,-89221442282.85573,-7434515576.624279,115409205445.83183
47,1.0428279644254424e+17,947.34,22.38,490842.05,371493.79,997882.21,763576.69,56070.41,515828.11,6681859417.077098,-14144898305.380754,-1182066437.241228
48,7.450240835872607e+17,657.65,16.47,900979.64,696548.66,18754.52,356763.48,201589.86,585436.22,-39689213501.790474,-61502483814.79858,1211743276.782749
49,5.524272443470081e+17,914.29,40.55,351590.42,361986.41,976827.48,979419.28,528909.35,404856.13,82096882886.9823,8245909103.617021,1056476346.9337252
50,3.036959040024221e+17,490.05,22.94,557473.16,370733.65,222751.43,880691.41,882096.78,597296.39,24043078781.324265,30030498405.275784,151105193.92322075
51,8.06562812000768e+17,315.17,9.6,33484.67,424345.38,310171.23,59930.7,209442.38,714911.28,-97674019456.96437,-53295849903.911285,11192386412.351639
52,9.741306043888084e+17,289.46,18.08,168232.95,215218.68,553329.93,809249.58,637518.55,438856.44,98182777207.86711,55257565971.88574,-33332807448.143295
53,6.179850446006316e+17,829.59,22.04,397722.8,195819.36,314329.66,480335.89,397810.88,891924.87,4766697083.7317505,-19561859276.696964,79461499537.50085
54,3.017850278768797e+17,555.0,19.22,568769.46,871517.17,863811.27,233018.86,26052.92,199064.28,-31456316252.817184,-40966293550.95078,-14257627724.237843
55,9.093387123965138e+17,853.34,30.87,707988.91,203659.16,877982.82,473902.46,706079.9,475899.37,-10438539848.749706,55328374451.10327,8059510438.577572
56,9.651323245532764e+17,194.89,6.7,442423.81,72221.21,871094.28,250206.01,79549.27,999364.17,-14774989460.023422,-128837769501.53247,379631401719.81366
57,2.5972282026468778e+17,888.62,17.0,935804.92,361073.0,733191.09,732441.53,144200.61,621260.41,18738498322.72548,-27056052662.991302,2331854162.6810546
58,6.614273137293755e+16,934.36,19.43,820812.63,173821.95,46223.9,307750.5,57086.91,752530.4,-2073772421.2667317,-9591965093.262327,2396684491.053702
59,8.299276740471276e+17,587.35,10.84,748809.55,408906.95,892517.89,807596.78,854929.74,973977.08,41694898796.28337,52853986717.88367,124961319326.25417
60,2.779389126474376e+17,610.96,48.06,826214.52,721356.07,957282.43,507116.26,945922.17,831415.71,-5770178045.304933,19186127630.29416,11215763802.623234
61,8.851463004967267e+17,538.25,29.54,604377.67,523021.75,360345.02,157953.72,101139.98,492389.39,-51993831514.13267,-94000845816.82574,5388909245.363695
62,4.950855347109493e+17,179.22,29.01,872789.14,881966.98,114769.63,15198.27,647565.83,687155.62,-90583938039.95357,5575224594.537833,9973818533.930511
63,1.5818603804469674e+17,441.98,7.09,998019.81,404533.53,1923.92,480824.96,934939.56,29034.46,-1281296014.1626463,15275957854.998291,-15849293169.402071
64,7.900677497243215e+17,763.9,48.07,367709.72,258362.91,74534.42,394595.76,961247.01,975166.12,-10842670836.106169,80615821149.51257,87402104556.5398
65,3.0396549821433005e+17,581.63,14.13,725487.58,75707.47,830931.55,801965.27,883758.95,31930.05,11227530190.03769,18180339843.558815,-30593380453.961353
66,7.04320305904026e+16,987.58,44.98,672005.74,439976.57,556468.11,473504.53,805782.08,147215.59,1086199323.463031,5991940390.234294,-6280082475.603142
67,6.184630604613075e+17,14.98,16.99,449620.02,389876.15,238097.97,364646.03,806593.23,565816.91,-256946781781.24725,1570834249119.289,1283966111518.2488
68,7.576724942346111e+17,206.62,43.32,938371.76,124666.6,82390.0,288238.77,282721.15,874547.23,-14308279280.236763,-19621549602.540543,61283107627.78611
69,1.710681585406492e+17,709.77,20.04,655468.44,192874.06,810714.14,732312.84,674095.66,218576.27,11720576620.828024,7708786750.097615,-10773279298.58362
70,3.445821116580174e+17,73.15,10.78,698357.48,278536.95,322707.94,231939.22,272086.41,994575.92,-20944310165.975075,-20686536895.264828,50930736071.12666
71,7.1933783144897e+17,323.97,10.95,821671.6,305893.86,163000.05,373342.38,141900.54,151938.33,-37081757131.72767,-71098481559.77089,-60484004774.300606
72,4.9073951558610643e+17,283.54,44.8,925033.9,948750.54,291510.78,121093.18,800280.73,900014.11,-55275361343.84932,34014782048.12455,36953716798.332886
73,3.333630424709243e+17,591.15,14.36,721651.34,185798.76,49540.81,700066.66,115220.5,722245.5,19466245509.934063,-43988455130.91141,4327874668.832847
74,9.491552217478387e+17,86.81,42.65,413682.39,268205.84,175181.71,979945.25,910085.53,338602.06,133865090731.33241,44863558125.10338,-22885472110.148266
75,8.16853241890966e+17,209.01,14.65,571164.11,120628.56,808770.85,48989.59,824305.75,774642.11,-135320864632.51826,44830811025.28949,48368654519.05832
76,5.614878102367055e+17,439.64,17.85,601256.44,191884.26,103469.3,240615.85,333171.85,174576.1,-18932253427.366978,-30881526742.280052,-51536756088.467804
77,4.690535188009629e+17,694.93,10.09,387170.02,446380.21,908185.66,381730.77,837185.07,9688.88,-8456734201.7887,35845997169.00963,-64035437137.91766
78,3.8875928605777837e+17,357.12,8.83,253017.58,653625.07,27772.24,507154.13,734854.57,519449.56,80320036.84382057,33448160276.195892,11554399592.436935
79,9.061261133035887e+17,726.75,27.54,905010.86,739216.95,257544.83,592511.2,530152.46,839156.79,65724816974.01718,399729158265.8918,331302118707.0189
80,1.6608483008731174e+17,36.11,26.2,898843.83,999469.36,162188.52,708315.32,27176.89,393523.28,9594040087.466944,-23470127107.904755,-1508042552.5312438
81,1.997522279393408e+17,351.63,12.47,448413.78,519488.94,606647.81,699939.67,374619.25,716215.27,13250948769.593866,-8760610154.595947,15026079733.379885
82,7.582781572116175e+17,353.38,46.63,790716.88,31050.01,96072.53,866503.75,601802.04,444202.05,107504350387.14546,922100207.9865413,-9851867383.315847
83,5.369418665834664e+17,265.22,11.95,982250.53,409466.16,241428.11,303539.04,177581.59,41375.3,-21101430695.001,-27364378822.230495,-70530859248.68707
84,374267817708928.7,336.93,18.22,803799.41,352274.65,869119.73,832332.54,31063.03,134404.34,-2353641441.480744,-217549450.22855416,-556381376.543897
85,2.8517387064364102e+17,154.81,44.86,139179.96,397225.28,572336.31,391363.06,81652.39,232587.7,-17341880335.79096,-41999814217.41982,-18360582441.330048
86,5.862778958858355e+17,757.89,38.34,806082.02,16582.97,454864.89,87194.38,706657.56,279369.95,-60221153817.845024,37555822464.53244,-41285993256.94061
87,6.332458615931982e+17,915.11,12.34,364400.47,931048.84,835492.87,413120.76,52272.37,966124.69,-6077252410.330523,-61420327236.2398,69984946867.98373
88,9.945475859644995e+17,868.3,31.13,697853.25,74023.37,623031.99,434430.56,449053.81,180828.89,-7095977436.819485,-40079697704.805565,-115750991116.43289
89,4.631076650522364e+17,90.58,23.92,955554.74,590898.09,171685.59,369063.87,813993.83,69614.58,-11922789174.365238,37869164519.11709,-56834928599.640816
90,2.657708262033566e+17,387.05,20.5,495696.86,168912.3,973843.88,206157.65,911972.21,32166.12,-8172087567.811801,24152727342.655914,-28922251047.299236
91,9.855888130883877e+17,940.38,21.88,904155.42,659852.77,257115.6,844550.94,282623.06,113396.81,65282919032.71034,-29686873791.264565,-103038577863.537
92,6.88118988126135e+17,141.72,23.99,353541.31,274332.91,213456.53,263901.82,319827.8,985015.99,-35008357136.99229,-2699097320.783718,112215957419.318
93,6.488554711532316e+17,582.24,44.95,884273.27,882052.3,897039.94,786412.82,240838.66,805317.83,42903146102.80592,-36596745885.175766,26868187967.2028
94,3.0306733383368326e+17,54.38,13.91,535662.31,262939.21,325343.13,496544.49,824050.61,667021.0,4553272410.27144,24898716576.67145,10924215438.65894
95,5.699125092721288e+17,827.98,30.68,708177.82,829422.8,385760.06,477946.15,203004.09,745330.01,13807104888.030962,-108878366161.21208,37157779692.94134
96,6.5498059150038e+16,416.83,20.2,230922.2,144535.74,923738.68,636341.23,93523.85,885505.66,1755429107.5608022,-7800413403.559276,6423976056.081641
97,5.5202087436481274e+17,789.89,32.64,69687.15,515887.24,107796.54,49712.49,569328.56,846460.54,-54363201723.87158,2910953304.6211376,29638882150.349487
98,7.397585008383309e+17,112.84,43.74,942558.68,265977.77,280085.45,997596.24,303294.77,326194.97,107990598323.73611,-31381112606.450455,-14243370098.627697
99,5907953188196294.0,278.49,13.2,797138.21,717599.05,707719.34,344824.14,850296.21,309360.77,-166953160.59018928,716369636.8106132,-170978487.07905486
100,5.730899579587674e+17,30.42,48.64,506400.99,841724.0,12997.05,480464.98,735909.81,759464.37,-7438435137.053164,30307486161.342274,37531390878.02108
101,1.6010875731990554e+17,95.08,13.52,757056.36,481223.68,788127.27,553268.99,390216.13,837512.08,1835293644.7856615,-6803918008.237051,14268071190.267672
102,5.749742840762466e+17,684.51,38.27,811324.68,355382.4,908115.89,786365.01,541812.75,519861.11,49937477839.84012,-13426466646.466684,21241892831.795593
103,9.73755761805917e+17,680.32,42.51,876837.08,969008.17,709516.96,626645.93,756335.18,384070.91,27174337223.92806,66332154590.47903,-37941377397.54889
104,8.05809353366802e+17,35.37,48.24,844399.55,423822.3,226042.11,426835.55,763393.43,559339.15,12131344925.0245,64252694466.62015,12142118925.086985
105,3.69712740367485e+17,685.07,42.53,950744.35,493968.05,856535.67,855981.75,990159.49,341467.17,15798235545.51541,48027735595.44822,-15175041082.654905
106,2.6024661604470454e+17,876.56,16.55,72558.21,210268.03,400438.83,717636.1,520154.05,370549.24,20505183616.48056,2454045617.4148,-9777819325.858204
107,9.285695449936695e+17,381.07,15.92,236147.81,95739.28,503298.48,392302.12,499673.0,462487.0,-43145535846.49778,41250516591.409645,-11994792367.577568
108,6.076251270565229e+17,906.33,32.75,121876.51,900049.31,744455.07,307452.22,724965.94,988790.06,-15534540603.58995,19046362456.494057,84809780745.5413
109,4.7350843400645824e+17,873.51,14.81,404459.37,552328.74,729259.99,316198.35,7978.63,103824.15,-7989569958.277002,-61397631433.18523,-35507463026.66549
110,7.721685752765221e+17,611.45,6.7,633548.41,545188.87,381619.7,703352.62,504527.75,768464.8,49779866110.80382,41539529153.230255,66567969440.85971
111,9.194149389037429e+16,428.28,12.68,186555.05,469009.07,958659.33,350220.3,469298.84,937977.22,-3019604959.568281,-746190872.4695446,13290012447.918219
112,7.1655299956813e+17,891.87,33.11,797438.73,219587.69,681925.67,3828.08,489545.52,530791.86,-111010901492.34592,-207095929.6955546,-3272777927.2012115
113,4.663980068678059e+17,268.64,41.95,567077.92,584695.42,95364.41,200208.04,890297.4,495381.8,-879144938.2365148,40993326609.18429,8860488292.689764
114,1.745246853407696e+17,610.17,37.45,858417.85,731040.33,831542.57,768173.79,888776.41,334698.98,8015686831.141933,19237576147.489388,-9576198657.692398
115,4.229882257688633e+17,116.21,6.7,82555.48,587367.68,714288.77,986807.6,10918.04,637365.54,39261940910.26185,-41128269415.72887,6419049783.878454
116,2.2382230375278826e+17,464.33,45.85,687503.95,406285.54,987565.5,528687.65,12429.26,333583.2,-1119264986.486043,-39475969135.85486,-4014276641.7821617
117,4.057819249821201e+17,918.5,28.17,342705.47,208405.67,991016.06,385892.93,586458.38,969163.56,34807591668.461754,2515818848.521705,29976495372.962627
118,5.592509326189354e+17,196.37,9.35,334226.49,67953.76,446239.14,89513.6,35801.6,522378.13,-31515264375.64049,-58632965367.497314,-23584409411.11081
119,8.43891972461095e+17,163.95,15.37,469970.3,896490.45,536201.62,261465.7,416583.8,240252.15,-54590974850.04117,-18725008879.115265,-56084512949.55888
120,7.94733179479085e+17,767.43,49.16,164468.64,461774.44,150547.73,643705.39,475950.79,628493.53,16062135715.183727,-3953759845.7045603,20790774183.19505
121,2.8082814365114848e+17,868.8,8.69,80166.64,187241.79,90628.34,278784.69,802569.76,89554.45,-1139307609.582343,8390623823.784961,-22613236527.272903
122,4.4199210637042477e+17,64.48,39.27,941252.19,240006.88,337505.42,15355.06,13858.4,320181.72,-53600922165.76225,-54983041545.74027,2309024881.518053
123,3.9867050399283584e+17,506.92,26.29,787363.52,820606.62,424169.45,253271.5,453904.68,703191.88,-38005597768.87358,-11340948412.528378,21219184162.471905
124,1.5135478865244134e+17,366.83,49.17,467809.21,60753.49,556832.22,52164.58,626828.57,227905.55,-31293149522.32173,3968775885.2176046,-12231919463.355074
125,4.8527586336442874e+17,874.93,25.39,183650.16,820594.0,345819.86,24686.74,255142.45,496906.23,-70531441847.71169,-23737253227.267742,3960178552.39541
126,9.228708189528739e+17,822.55,20.62,240763.74,603222.5,458262.47,76410.35,54612.01,134902.5,-92583443839.60774,-91604193536.66637,-41828757469.71856
127,5.799796413398153e+17,389.2,9.12,621926.05,470229.63,294683.75,247199.18,738587.52,238848.68,-29315293977.530693,21236840235.635902,-39378563251.18482
128,8.375038891574102e+17,854.54,36.28,227039.57,636184.13,452669.19,672923.88,365438.46,671836.37,3821176271.679553,-44591317686.70852,-2889556646.898447
129,7.246407753034257e+17,259.62,8.27,700414.24,712044.95,292531.88,956483.14,410788.82,279183.67,97856545203.85493,-23117345771.896317,-36483384848.31842
130,1.9268963601578925e+17,94.76,10.74,579118.19,206927.71,639693.82,183864.92,932796.55,692011.78,-12636326917.629509,24687434533.692825,7424530120.042039
131,1.620657913187143e+17,607.13,46.32,80703.18,493183.42,550805.68,729427.22,248013.58,330834.13,11596829689.535292,-6117673094.929851,-8789240534.733639
132,2.8191042144907107e+17,711.73,34.58,385716.2,3905.43,465773.16,640346.76,295464.03,310272.02,19530571895.03152,-19922623622.868362,-13442140593.103676
133,3.7348321707109005e+17,614.56,8.2,317522.92,464651.19,999853.69,626512.88,622549.56,116804.23,12949442378.896564,15899247611.667324,-42143381557.982834
134,7.123847860191357e+17,32.39,33.81,664763.2,609605.59,672602.36,959736.36,280773.9,616919.39,111344243093.43864,-25567046996.46142,-8993072431.654022
135,9.538953772392085e+16,531.33,42.0,165822.29,23278.55,384871.15,897814.09,487353.28,351759.4,11303395562.172613,-411351385.45997727,-3602110256.773096
136,3.3026849514710675e+17,745.99,36.45,31239.03,646465.55,262821.75,746744.26,84765.75,745345.92,20365389475.15489,-43656201501.044975,11048726023.818277
137,3.817569295074863e+17,316.16,16.94,660397.49,471747.94,811770.24,268741.55,997345.86,439265.58,-15727606834.090439,62257562763.10266,-3798242966.760296
138,6.248587122775372e+17,675.57,27.0,44118.74,797945.68,330975.98,174861.58,73207.65,362006.91,-41076775413.206474,-72794673359.18077,-5573660479.289852
139,1.762973348139978e+17,689.41,37.14,139723.13,682318.83,302995.54,963698.82,274837.38,707013.43,32585032863.18494,-9714461529.90956,4373645809.804438
140,8.664304582076261e+16,384.41,14.49,205258.88,413461.88,493462.7,478215.29,872408.7,474031.42,-1237683177.6392336,9407905140.853357,-1512194098.2114973
141,1.5322864870246806e+17,708.96,35.04,73649.8,927238.98,983082.29,158150.17,846997.48,718070.59,-11214965836.870663,11200137198.939537,5121181927.331821
142,3.348206934542061e+16,698.7,7.97,597385.57,786513.93,795714.84,138342.06,860768.52,449693.46,-4224870764.0231085,2209402557.135087,-121488877.37349239
143,1.304859313079582e+17,725.13,19.92,26657.39,502760.26,132679.8,921307.94,909590.01,606634.04,13450743107.625906,11736919129.578833,1082110853.2927582
144,5.423453755942067e+17,939.91,16.6,892423.86,987867.05,129865.35,888840.1,724192.8,611182.87,61124552960.795105,13630545826.935051,15019000737.873783
145,3.95913235185144e+17,329.37,36.52,77782.11,546764.69,819481.62,102455.21,232420.64,553809.18,-40358043378.124756,-24070178292.48331,553189430.1725774
146,3.719827491245462e+17,853.6,6.81,552484.02,46006.45,986947.62,572807.72,516822.36,430159.32,8594774947.417511,3118666366.9801197,-16548797620.890944
147,7.81589890975505e+17,305.72,32.87,232332.1,457125.77,893525.52,982655.13,601900.12,38405.61,98150007644.04756,24899027256.552235,-75564610744.6336
148,7.620546340580038e+17,682.1,29.99,985135.02,261015.84,495214.67,83734.83,81623.12,905642.0,-52361091321.5949,-93055125080.49356,54468843428.91586
149,1.2964369206330224e+17,505.68,19.71,337368.85,458698.26,707363.88,237271.04,324751.32,959890.05,8795653258.335087,3896332107.601819,29286326257.788895
150,9.608771087836635e+17,259.35,6.74,334765.38,680364.17,420893.79,491815.48,185287.04,156544.02,788897945.0480294,-47838376875.10542,-111857845152.41008
151,4.6327311981289965e+17,794.72,26.15,447614.26,116840.19,211837.66,521773.18,276781.5,594155.28,4591540491.484335,-27763158154.93486,9775747394.495491
152,3.981589710442978e+17,915.11,37.99,587026.08,972541.46,510595.91,288892.37,333494.92,110874.45,-17421101120.242794,-22910752758.606842,-52365447093.10295
153,8.081992141935168e+16,68.24,48.03,483489.24,264119.99,543443.56,65794.81,676531.13,949071.1,-9043621406.598125,1857886673.6964242,10226190467.965355
154,6.041198664249032e+17,708.32,13.05,891414.55,989591.16,844864.16,597341.97,982662.75,532559.65,-15340845594.967,92685140801.97066,-6229270335.199616
155,5.2961030423734483e+17,749.1,33.71,173735.03,265521.45,566597.18,35706.0,382165.25,792398.89,-73914353580.5284,-7892328419.59145,34644385058.76363
156,2.1293683961906506e+17,286.05,34.19,578187.23,978629.78,58839.97,403401.93,272419.65,598856.05,-7362475434.10569,-12293546699.991545,2856148347.414166
157,8.898853107299654e+17,853.0,7.54,607499.07,489962.78,335558.23,912274.07,226152.74,93888.5,73143954478.34761,-162576877656.67883,-65850937456.06506
158,3.6579481640152744e+16,336.0,49.68,637780.69,803630.59,458323.02,579488.34,679234.48,185915.57,-1316692877.0814173,11441517472.655912,-6122721405.640975
159,8.261846973417069e+17,934.5,28.04,151201.31,440997.87,683361.3,287023.42,380606.94,687674.79,-65400797657.253,-40629381836.264534,33066663269.80604
160,1.2821662406691598e+17,649.34,14.24,834880.62,228051.64,975776.7,394261.32,336481.28,531386.83,-2223577225.2816095,-7123943629.433118,344435470.214412
161,8.329161304464234e+17,835.64,6.05,496099.76,833382.1,579987.48,117309.81,475102.85,706321.07,-89124735202.45645,-6671010222.555841,40895933181.259415
162,7.796344762301516e+17,916.65,19.42,574585.04,67010.78,765798.79,734272.2,753405.53,769161.48,23161011903.15139,47914146695.645966,47416158043.49591
163,6.303353232639315e+17,202.85,27.29,394179.25,63193.06,927970.82,171541.68,56697.7,26394.07,-37096157860.51782,-43237408872.80315,-76751086218.13367
164,4.607251737682558e+17,535.61,19.89,78016.9,160769.9,677933.85,260235.85,240392.06,773511.4,-25790744634.820198,-25081721785.99659,21509040075.901054
165,4.257570936227306e+17,975.71,32.72,692003.2,135902.24,888173.42,756752.16,195271.21,98962.66,41858222303.81023,-46619477452.07817,-33912691461.253437
166,4.924713560042416e+17,365.8,40.64,597776.26,287458.27,450105.69,487596.75,335721.72,195841.48,-14623981782.07792,-19774865182.632668,-54803539491.832985
167,7.711898260939951e+17,327.48,36.01,754184.36,164402.51,185460.05,191937.0,507412.93,584733.91,-71583267878.57991,-2878449754.9112887,21268938981.724617
168,2.7902026766124118e+17,895.37,11.98,965102.67,96866.06,996122.44,962502.83,889717.09,4580.56,21434449543.52874,16927244544.228981,-27488058539.867554
169,9.994387219968522e+17,334.22,42.03,703492.69,761256.49,405109.63,188751.02,38153.93,87735.62,-44486886024.76185,-100979280781.57036,-54861878002.02965
170,4.8820839671052365e+17,934.26,41.61,440763.29,657822.47,603923.31,384101.7,521719.73,827246.99,-11162176451.793646,12481832636.825445,49885313411.37088
171,2.1367843494566672e+17,496.79,15.73,688631.98,880105.36,192860.19,644392.08,412429.53,78817.79,9341182617.502996,2565576062.8617578,-26622456061.476624
172,2.6762102256726355e+17,185.75,7.35,998579.69,337830.73,866919.28,713191.69,211987.01,85618.69,-34850974861.75041,-48851601214.60966,-14084154206.37373
173,6.655082489942848e+17,388.76,13.89,40625.62,607745.1,904979.4,342351.14,430038.79,713376.38,-26584312935.212093,-13473233028.61982,42732999946.665436
174,6.667728388107482e+17,949.99,32.82,396414.98,596470.14,818592.57,516371.76,171975.3,477915.77,21202043321.421337,-46956556790.95598,3814776014.231306
175,9.157654396788129e+17,405.87,23.55,505060.2,484918.75,351123.06,70468.15,801377.8,425288.86,-137762009251.79736,33384478321.09475,1455902233.7888536
176,9.027245593317329e+17,440.69,5.4,982089.03,58547.41,833140.62,225688.36,115947.07,769574.86,-37150308378.95378,-94775428967.06676,33089285352.413593
177,8.332325050733341e+17,744.95,14.97,118956.95,987973.56,224929.47,902604.08,115038.79,680506.05,110927989730.40874,-29534428226.920544,145920292164.64908
178,4.242246917385973e+17,948.39,14.12,697707.41,661186.09,858783.23,81989.32,415111.95,505220.08,-31417873489.688484,4305406623.624356,-191423952168.24725
179,8.718955621051726e+17,76.2,45.83,415272.75,486949.48,851009.02,539415.15,110180.6,762872.05,30450730191.97174,-114406881717.80426,32086804740.78197
